imid|mapname|object_id
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|6074
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|108
369|Transcription_Mechanism of regulation of the transcription of Retinoid-target genes|10
373|Apoptosis and survival_Caspase cascade|820
373|Apoptosis and survival_Caspase cascade|60
373|Apoptosis and survival_Caspase cascade|269
373|Apoptosis and survival_Caspase cascade|105
373|Apoptosis and survival_Caspase cascade|2138
373|Apoptosis and survival_Caspase cascade|2130
373|Apoptosis and survival_Caspase cascade|2314
373|Apoptosis and survival_Caspase cascade|640
373|Apoptosis and survival_Caspase cascade|934
373|Apoptosis and survival_Caspase cascade|914
373|Apoptosis and survival_Caspase cascade|85
373|Apoptosis and survival_Caspase cascade|-429333329
373|Apoptosis and survival_Caspase cascade|-2034743228
373|Apoptosis and survival_Caspase cascade|85
373|Apoptosis and survival_Caspase cascade|934
373|Apoptosis and survival_Caspase cascade|765
373|Apoptosis and survival_Caspase cascade|2396
373|Apoptosis and survival_Caspase cascade|268
373|Apoptosis and survival_Caspase cascade|381
373|Apoptosis and survival_Caspase cascade|592
373|Apoptosis and survival_Caspase cascade|88
373|Apoptosis and survival_Caspase cascade|2137
373|Apoptosis and survival_Caspase cascade|4203
373|Apoptosis and survival_Caspase cascade|913
373|Apoptosis and survival_Caspase cascade|2046
373|Apoptosis and survival_Caspase cascade|2101
373|Apoptosis and survival_Caspase cascade|915
373|Apoptosis and survival_Caspase cascade|427
373|Apoptosis and survival_Caspase cascade|2216
373|Apoptosis and survival_Caspase cascade|2133
373|Apoptosis and survival_Caspase cascade|912
373|Apoptosis and survival_Caspase cascade|380
373|Apoptosis and survival_Caspase cascade|-1853914630
373|Apoptosis and survival_Caspase cascade|656
373|Apoptosis and survival_Caspase cascade|768
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|265
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|4042
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|768
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|2405
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|4039
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|2612
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|-429333329
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|4487
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|914
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|88
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|488
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|-2034743228
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|-429333329
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|85
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|268
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|2420
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|-505022617
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|60
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|934
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|2130
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|765
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|86
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|269
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|-1382354918
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|587
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|4043
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|2098
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|85
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|4039
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|769
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|915
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|2092
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|2608
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|2607
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|2122
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|4042
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|8113
376|Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim|2046
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|182
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|4102
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|161
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|884
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|2092
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|487
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|2437
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|886
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|-2140240404
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|680
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|4100
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|2394
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|883
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|68
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|1071
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|241
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|561
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|2294
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|2119
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|434
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|486
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|2496
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|669
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|488
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|4311
379|G-protein signaling_Ras family GTPases in kinase cascades (schema)|4208
380|G-protein signaling_RhoA regulation pathway|4110
380|G-protein signaling_RhoA regulation pathway|892
380|G-protein signaling_RhoA regulation pathway|2308
380|G-protein signaling_RhoA regulation pathway|4113
380|G-protein signaling_RhoA regulation pathway|4114
380|G-protein signaling_RhoA regulation pathway|4182
380|G-protein signaling_RhoA regulation pathway|1120
380|G-protein signaling_RhoA regulation pathway|4163
380|G-protein signaling_RhoA regulation pathway|9311
380|G-protein signaling_RhoA regulation pathway|660
380|G-protein signaling_RhoA regulation pathway|4156
380|G-protein signaling_RhoA regulation pathway|959
380|G-protein signaling_RhoA regulation pathway|380
380|G-protein signaling_RhoA regulation pathway|669
380|G-protein signaling_RhoA regulation pathway|4158
380|G-protein signaling_RhoA regulation pathway|2738
380|G-protein signaling_RhoA regulation pathway|686
380|G-protein signaling_RhoA regulation pathway|283
380|G-protein signaling_RhoA regulation pathway|4169
380|G-protein signaling_RhoA regulation pathway|-301419124
380|G-protein signaling_RhoA regulation pathway|274
380|G-protein signaling_RhoA regulation pathway|2650
380|G-protein signaling_RhoA regulation pathway|4177
380|G-protein signaling_RhoA regulation pathway|1074
380|G-protein signaling_RhoA regulation pathway|4174
380|G-protein signaling_RhoA regulation pathway|-1056281095
380|G-protein signaling_RhoA regulation pathway|-368498665
380|G-protein signaling_RhoA regulation pathway|1060
380|G-protein signaling_RhoA regulation pathway|381
380|G-protein signaling_RhoA regulation pathway|2236
380|G-protein signaling_RhoA regulation pathway|2588
380|G-protein signaling_RhoA regulation pathway|2662
380|G-protein signaling_RhoA regulation pathway|600
380|G-protein signaling_RhoA regulation pathway|278
382|G-protein signaling_RhoB regulation pathway|2236
382|G-protein signaling_RhoB regulation pathway|4169
382|G-protein signaling_RhoB regulation pathway|-368498665
382|G-protein signaling_RhoB regulation pathway|1120
382|G-protein signaling_RhoB regulation pathway|-3696329
382|G-protein signaling_RhoB regulation pathway|2352
382|G-protein signaling_RhoB regulation pathway|2662
382|G-protein signaling_RhoB regulation pathway|4184
382|G-protein signaling_RhoB regulation pathway|9311
382|G-protein signaling_RhoB regulation pathway|4178
382|G-protein signaling_RhoB regulation pathway|892
382|G-protein signaling_RhoB regulation pathway|-1801761402
382|G-protein signaling_RhoB regulation pathway|2237
382|G-protein signaling_RhoB regulation pathway|4163
382|G-protein signaling_RhoB regulation pathway|-2120814638
382|G-protein signaling_RhoB regulation pathway|4167
383|G-protein signaling_RAC1 in cellular process|-985617152
383|G-protein signaling_RAC1 in cellular process|594
383|G-protein signaling_RAC1 in cellular process|4189
383|G-protein signaling_RAC1 in cellular process|2428
383|G-protein signaling_RAC1 in cellular process|2582
383|G-protein signaling_RAC1 in cellular process|2585
383|G-protein signaling_RAC1 in cellular process|-301419124
383|G-protein signaling_RAC1 in cellular process|-1446534417
383|G-protein signaling_RAC1 in cellular process|2110
383|G-protein signaling_RAC1 in cellular process|590
383|G-protein signaling_RAC1 in cellular process|560
383|G-protein signaling_RAC1 in cellular process|2111
383|G-protein signaling_RAC1 in cellular process|602
383|G-protein signaling_RAC1 in cellular process|63
383|G-protein signaling_RAC1 in cellular process|-1288724850
383|G-protein signaling_RAC1 in cellular process|-2118610548
383|G-protein signaling_RAC1 in cellular process|4185
383|G-protein signaling_RAC1 in cellular process|-174000029
383|G-protein signaling_RAC1 in cellular process|182
383|G-protein signaling_RAC1 in cellular process|-1312872986
383|G-protein signaling_RAC1 in cellular process|-810211225
383|G-protein signaling_RAC1 in cellular process|-1829577397
383|G-protein signaling_RAC1 in cellular process|561
383|G-protein signaling_RAC1 in cellular process|-645688055
383|G-protein signaling_RAC1 in cellular process|2580
383|G-protein signaling_RAC1 in cellular process|600
383|G-protein signaling_RAC1 in cellular process|2112
383|G-protein signaling_RAC1 in cellular process|669
383|G-protein signaling_RAC1 in cellular process|2109
383|G-protein signaling_RAC1 in cellular process|686
383|G-protein signaling_RAC1 in cellular process|4183
383|G-protein signaling_RAC1 in cellular process|562
383|G-protein signaling_RAC1 in cellular process|-1421149666
383|G-protein signaling_RAC1 in cellular process|-309915814
383|G-protein signaling_RAC1 in cellular process|2614
384|G-protein signaling_Regulation of RAC1 activity|-1651022756
384|G-protein signaling_Regulation of RAC1 activity|4113
384|G-protein signaling_Regulation of RAC1 activity|-102563979
384|G-protein signaling_Regulation of RAC1 activity|120
384|G-protein signaling_Regulation of RAC1 activity|2308
384|G-protein signaling_Regulation of RAC1 activity|4117
384|G-protein signaling_Regulation of RAC1 activity|4114
384|G-protein signaling_Regulation of RAC1 activity|-1675277103
384|G-protein signaling_Regulation of RAC1 activity|680
384|G-protein signaling_Regulation of RAC1 activity|4191
384|G-protein signaling_Regulation of RAC1 activity|2236
384|G-protein signaling_Regulation of RAC1 activity|-801504698
384|G-protein signaling_Regulation of RAC1 activity|2739
384|G-protein signaling_Regulation of RAC1 activity|912
384|G-protein signaling_Regulation of RAC1 activity|892
384|G-protein signaling_Regulation of RAC1 activity|4182
384|G-protein signaling_Regulation of RAC1 activity|824
384|G-protein signaling_Regulation of RAC1 activity|1120
384|G-protein signaling_Regulation of RAC1 activity|4103
384|G-protein signaling_Regulation of RAC1 activity|669
384|G-protein signaling_Regulation of RAC1 activity|729
384|G-protein signaling_Regulation of RAC1 activity|2352
384|G-protein signaling_Regulation of RAC1 activity|370
384|G-protein signaling_Regulation of RAC1 activity|4155
384|G-protein signaling_Regulation of RAC1 activity|-955760286
384|G-protein signaling_Regulation of RAC1 activity|4190
384|G-protein signaling_Regulation of RAC1 activity|-377805246
384|G-protein signaling_Regulation of RAC1 activity|4174
384|G-protein signaling_Regulation of RAC1 activity|-1234790304
384|G-protein signaling_Regulation of RAC1 activity|2662
384|G-protein signaling_Regulation of RAC1 activity|4118
384|G-protein signaling_Regulation of RAC1 activity|4192
384|G-protein signaling_Regulation of RAC1 activity|2653
384|G-protein signaling_Regulation of RAC1 activity|1074
384|G-protein signaling_Regulation of RAC1 activity|804
384|G-protein signaling_Regulation of RAC1 activity|2425
387|G-protein signaling_Rac2 regulation pathway|2236
387|G-protein signaling_Rac2 regulation pathway|-1187727782
387|G-protein signaling_Rac2 regulation pathway|2663
387|G-protein signaling_Rac2 regulation pathway|-1487632358
387|G-protein signaling_Rac2 regulation pathway|2140
387|G-protein signaling_Rac2 regulation pathway|-1603924312
387|G-protein signaling_Rac2 regulation pathway|2112
387|G-protein signaling_Rac2 regulation pathway|-70248701
387|G-protein signaling_Rac2 regulation pathway|-1288724850
387|G-protein signaling_Rac2 regulation pathway|-985617152
387|G-protein signaling_Rac2 regulation pathway|-2118610548
387|G-protein signaling_Rac2 regulation pathway|-467563756
387|G-protein signaling_Rac2 regulation pathway|2739
387|G-protein signaling_Rac2 regulation pathway|-802681163
387|G-protein signaling_Rac2 regulation pathway|-1479286766
387|G-protein signaling_Rac2 regulation pathway|561
387|G-protein signaling_Rac2 regulation pathway|2109
387|G-protein signaling_Rac2 regulation pathway|-1312872986
387|G-protein signaling_Rac2 regulation pathway|-1289428634
387|G-protein signaling_Rac2 regulation pathway|2111
387|G-protein signaling_Rac2 regulation pathway|2662
387|G-protein signaling_Rac2 regulation pathway|-1324048877
387|G-protein signaling_Rac2 regulation pathway|539
387|G-protein signaling_Rac2 regulation pathway|2498
387|G-protein signaling_Rac2 regulation pathway|-1829577397
387|G-protein signaling_Rac2 regulation pathway|9265
387|G-protein signaling_Rac2 regulation pathway|2110
387|G-protein signaling_Rac2 regulation pathway|4191
387|G-protein signaling_Rac2 regulation pathway|4190
387|G-protein signaling_Rac2 regulation pathway|998
387|G-protein signaling_Rac2 regulation pathway|2835
387|G-protein signaling_Rac2 regulation pathway|-364786138
387|G-protein signaling_Rac2 regulation pathway|1120
387|G-protein signaling_Rac2 regulation pathway|2554
387|G-protein signaling_Rac2 regulation pathway|-377805246
387|G-protein signaling_Rac2 regulation pathway|804
