entrez_id	gene_name
54823	SWT1
51660	MPC1
101928509	LOC101928509
57724	EPG5
1186	CLCN7
79932	KIAA0319L
441061	MARCH11
9693	RAPGEF2
729085	FAM198A
165829	GPR156
9692	KIAA0391
56154	TEX15
55748	CNDP2
2998	GYS2
5311	PKD2
100885850	PTGES3L-AARSD1
51503	CWC15
51029	DESI2
83539	CHST9
4851	NOTCH1
148345	C1orf127
9502	XAGE2
441381	LRRC24
9848	MFAP3L
84033	OBSCN
25891	PAMR1
9784	SNX17
6315	ATXN8OS
1979	EIF4EBP2
221061	FAM171A1
55638	SYBU
85015	USP45
23507	LRRC8B
101929076	LOC101929076
126353	MISP
23586	DDX58
7597	ZBTB25
101929733	LOC101929733
164633	CABP7
79877	DCAKD
9121	SLC16A5
55471	NDUFAF7
352954	GATS
406931	MIR139
8140	SLC7A5
100302140	MIR1302-6
1611	DAP
162962	ZNF836
1653	DDX1
51377	UCHL5
1160	CKMT2
2528	FUT6
84662	GLIS2
3614	IMPDH1
4951	OCM2
392197	USP17L7
644068	RPS14P3
7766	ZNF223
641339	ZNF674
3026	HABP2
93107	KCNG4
693219	MIR634
9725	TMEM63A
4238	MFAP3
100132774	KDM4A-AS1
101927381	LINC01163
374739	TEPP
5627	PROS1
401097	C3orf80
25896	INTS7
50837	TAS2R7
348174	CLEC18A
7534	YWHAZ
84266	ALKBH7
5372	PMM1
9068	ANGPTL1
100874027	TPRG1-AS2
389206	BEND4
6439	SFTPB
3017	HIST1H2BD
5993	RFX5
83481	EPPK1
60370	AVPI1
55737	VPS35
10550	ARL6IP5
51339	DACT1
84720	PIGO
7274	TTPA
619498	SNORD74
677781	SCARNA16
391190	OR2L8
102466759	MIR6894
645644	FLJ42627
56915	EXOSC5
100873944	PRKX-AS1
126789	PUSL1
119369	NUDT9P1
56931	DUS3L
100288123	LOC100288123
653604	HIST2H3D
100652883	ALOX15P1
100303728	SLC25A5-AS1
100422932	MIR4328
64581	CLEC7A
102466875	MIR8063
407053	MIR96
353333	KRTAP10-10
102060414	C2-AS1
100131315	LOC100131315
100616245	MIR4661
27288	RBMXL2
100302185	MIR1204
3003	GZMK
389857	CENPVP1
402415	XKRX
100996648	TCP11X2
80267	EDEM3
169792	GLIS3
51028	VPS36
4116	MAGOH
83479	DDX59
100996579	LOC100996579
85440	DOCK7
164	AP1G1
55009	C19orf24
399827	LINC01164
55656	INTS8
116412	ZNF837
10800	CYSLTR1
222546	RFX6
84230	LRRC8C
100144604	LINC00930
283856	LOC283856
5373	PMM2
80173	IFT74
23452	ANGPTL2
347689	SOX2-OT
6440	SFTPC
442075	EMC3-AS1
168002	DACT2
22999	RIMS1
171392	ZNF675
101927501	LOC101927501
282974	STK32C
79656	BEND5
130132	RFTN2
102157402	AK6
4853	NOTCH2
3612	IMPA1
79820	CATSPERB
343450	KCNT2
148252	DIRAS1
729614	FLJ37453
100288805	HYDIN2
7018	TF
285596	FAM153A
64854	USP46
7047	TGM4
64111	NPVF
126364	LRRC25
9057	SLC7A6
102724484	LOC102724484
6886	TAL1
197358	NLRC3
100128191	TMPO-AS1
106660609	MIR4432HG
150350	ENTHD1
374786	EFCAB5
392392	OR1K1
9120	SLC16A6
4168	MCF2
55362	TMEM63B
5781	PTPN11
100775104	KLHL7-AS1
101927619	LOC101927619
101060691	NUTM2B-AS1
57461	ISY1
54972	TMEM132A
5885	RAD21
102467147	LOC102467147
65979	PHACTR4
10589	DRAP1
51227	PIGP
100302147	MIR1302-7
286122	C8orf31
91801	ALKBH8
649159	LINC00273
730091	LINC00886
101929572	LOC101929572
8290	HIST3H3
1389	CREBL2
25874	MPC2
4841	NONO
85001	MGC16275
285954	INHBA-AS1
120065	OR5P2
6285	S100B
1758	DMP1
100526772	TMEM110-MUSTN1
677769	SCARNA17
8774	NAPG
151188	ARL6IP6
50836	TAS2R8
284069	FAM171A2
103689912	TBX2-AS1
57684	ZBTB26
112574	SNX18
646023	ADORA2A-AS1
693220	MIR635
8344	HIST1H2BE
55905	RNF114
497190	CLEC18B
10411	RAPGEF3
51313	FAM198B
10514	MYBBP1A
80045	GPR157
392188	USP17L8
100302161	MIR1205
139804	RBMXL3
642929	LOC642929
84557	MAP1LC3A
100287846	LOC100287846
100124516	SNORD58C
692195	SNORD75
26267	FBXO10
101927125	ELFN1-AS1
65263	PYCRL
102465539	MIR6895
51272	BET1L
170626	XAGE3
8637	EIF4EBP3
102465866	MIR8064
255275	MYADML2
100506888	TCEB3CL2
260429	PRSS33
119392	SFR1
4239	MFAP4
2529	FUT7
3615	IMPDH2
7465	WEE1
2297	FOXD1
386678	KRTAP10-11
9900	SV2A
100423009	MIR4329
7767	ZNF224
728036	CT47A10
441495	CENPVP2
388436	LOC388436
118460	EXOSC6
9082	XKRY
54681	P4HTM
3004	GZMM
283971	CLEC18C
7038	TG
57512	GPR158
64800	EFCAB6
2306	FOXD2
114795	TMEM132B
122481	AK7
728695	SPANXB1
101927296	LOC101927296
728577	CNTNAP3B
8480	RAE1
81704	DOCK8
23205	ACSBG1
9194	SLC16A7
132989	C4orf36
3613	IMPA2
9056	SLC7A7
27329	ANGPTL3
23583	SMUG1
102724034	LOC102724034
101927502	LOC101927502
124411	ZNF720
100131551	LINC00887
9699	RIMS2
4077	NBR1
80204	FBXO11
22927	HABP4
28316	CDH20
55756	INTS9
2530	FUT8
100996624	LOC100996624
407054	MIR98
202134	FAM153B
404220	C6orf201
55031	USP47
57156	TMEM63C
8076	MFAP5
221336	BEND6
54769	DIRAS2
541472	LOC541472
9333	TGM5
8654	PDE5A
5782	PTPN12
9899	SV2B
728310	GOLGA6L7P
54363	HAO1
100294362	LOC100294362
7163	TPD52
101928231	LOC101928231
2041	EPHA1
148223	C19orf25
283461	C12orf40
10007	GNPDA1
57105	CYSLTR2
5996	RGS1
51271	UBAP1
11069	RAPGEF4
100652740	PYCARD-AS1
100130264	LOC100130264
101928682	LOC101928682
64969	MRPS5
23016	EXOSC7
389816	LRRC26
55717	WDR11
100129354	NRADDP
6441	SFTPD
64864	RFX7
132112	RTP1
143503	OR51E1
100500873	MIR3934
403312	LOC403312
84280	BTBD10
26277	TINF2
10421	CD2BP2
102465867	MIR8065
104310350	LINC01327
399979	SNX19
22861	NLRP1
27257	LSM1
100302170	MIR1206
147906	DACT3
55144	LRRC8D
11116	FGFR1OP
276	AMY1A
4854	NOTCH3
102724105	ZNF528-AS1
339666	LOC339666
8343	HIST1H2BF
120066	OR5P3
6887	TAL2
27246	RNF115
100289511	LOC100289511
81631	MAP1LC3B
4547	MTTP
25983	NGDN
101929122	LOC101929122
9091	PIGQ
163223	ZNF676
50835	TAS2R9
101928844	LOC101928844
677765	SCARNA18
54913	RPP25
648	BMI1
7768	ZNF225
57655	GRAMD1A
58484	NLRC4
100506159	LOC100506159
692196	SNORD76
79901	CYBRD1
26175	TMEM251
100302223	MIR1302-8
387628	KGFLP1
693221	MIR636
201633	TIGIT
494551	WEE2
8260	NAA10
386685	KRTAP10-12
115265	DDIT4L
145837	DRAIC
8906	AP1G2
693125	MIR548A1
100170227	SNAR-D
8479	HIRIP3
146705	ENTHD2
100287072	LOC100287072
728024	LOC728024
80231	CXorf21
4922	NTS
646214	LOC646214
100526831	SLX1B-SULT1A4
255313	CT47A11
100616260	MIR4663
203429	FAM226A
22987	SV2C
2633	GBP1
100533464	PRH1-PRR4
23247	KIAA0556
5284	PIGR
257062	CATSPERD
222389	BEND7
100422831	MIR1302-9
81616	ACSBG2
101927590	LINC01166
121551	BTBD11
55833	UBAP2
3895	KTN1
10690	FUT9
57476	GRAMD1B
343641	TGM6
5783	PTPN13
9771	RAPGEF5
4154	MBNL1
92293	TMEM132C
654466	KGFLP2
154442	BVES-AS1
169693	TMEM252
100462953	MINOS1P1
159371	SLC35G1
643542	LOC643542
23348	DOCK9
196475	RMST
170960	ZNF721
80131	LRRC8E
55125	CEP192
23428	SLC7A8
84166	NLRC5
102465868	MIR8066
344892	RTP2
134147	CMBL
100132541	GXYLT1P3
84196	USP48
246184	CDC26
167681	PRSS35
202181	LOC202181
84251	SGIP1
79971	WLS
84779	NAA11
100885795	LARS2-AS1
2710	GK
80724	ACAD10
100507274	LINC01210
342926	ZNF677
83742	MARVELD1
80313	LRRC27
4855	NOTCH4
158067	AK8
55759	WDR12
440738	MAP1LC3C
55655	NLRP2
79831	KDM8
55778	ZNF839
101929121	LINC00437
100507384	LOC100507384
51129	ANGPTL4
1969	EPHA2
4354	MPP1
100873924	HLX-AS1
10230	NBR2
4973	OLR1
653316	FAM153C
30061	SLC40A1
64714	PDIA2
2282	FKBP1AP1
100302175	MIR1207
27022	FOXD3
128710	SLX4IP
57798	GATAD1
653479	MRPL45P2
54514	DDX4
9077	DIRAS3
284649	SMG7-AS1
8339	HIST1H2BG
929	CD14
353131	LCE1A
9419	CRIPT
728	C5AR1
5928	RBBP4
92749	DRC1
81285	OR51E2
5954	RCN1
124817	CNTD1
2978	GUCA1A
7054	TH
7407	VARS
51179	HAO2
6491	STIL
64968	MRPS6
65265	C8orf33
7769	ZNF226
100505687	LINC00888
100507458	ZNF213-AS1
135656	DPCR1
693222	MIR637
79981	FRMD1
132789	GNPDA2
100302111	MIR1184-1
9783	RIMS3
11340	EXOSC8
55815	TSNAXIP1
7380	UPK3A
84210	ANKRD20A1
286140	RNF5P1
693126	MIR548A2
8481	OFD1
692197	SNORD77
101929123	LOC101929123
441308	OR4F21
731220	RFX8
10821	OR7E12P
277	AMY1B
100170220	SNAR-E
100129924	LOC100129924
27037	TRMT2A
388695	LYSMD1
439931	THAP7-AS1
57819	LSM2
100616318	MIR4664
64593	RBMY3AP
2134	EXTL1
101929574	LOC101929574
101927954	LOC101927954
84455	EFCAB7
100500891	MIR3935
541473	LOC541473
5997	RGS2
84674	CARD6
127262	TPRG1L
645158	CBX3P2
337975	KRTAP20-1
100507170	CT47A12
23539	SLC16A8
170627	XAGE5
653687	FAM226B
23429	RYBP
51735	RAPGEF6
339500	ZNF678
54762	GRAMD1C
10146	G3BP1
100302281	MIR1208
846	CASR
79935	CNTD2
387486	LINC00320
27159	CHIA
221264	AK9
2042	EPHA3
2923	PDIA3
116328	C8orf34
121256	TMEM132D
29071	C1GALT1C1
5784	PTPN14
374470	C12orf42
145814	PGPEP1L
256586	LYSMD2
400999	FLJ42351
11221	DUSP10
758	MPPED1
100499171	LINC00276
55220	KLHDC8A
64795	RMND5A
441430	ANKRD20A2
100129716	ARRDC3-AS1
1393	CRHBP
9605	VPS9D1
3320	HSP90AA1
79979	TRMT2B
10150	MBNL2
84129	ACAD11
27258	LSM3
400165	ATP11AUN
2135	EXTL2
996	CDC27
103695432	LINC01167
7770	ZNF227
284307	ZIK1
5929	RBBP5
5998	RGS3
2669	GEM
414059	TBC1D3B
5549	PRELP
4619	MYH1
11039	SMA4
64405	CDH22
140730	RIMS4
94005	PIGS
284021	MILR1
116179	TGM7
55312	RFK
256643	CXorf23
11136	SLC7A9
253935	ANGPTL5
8345	HIST1H2BH
9028	RHBDL1
101927342	LOC101927342
10591	DNPH1
27202	C5AR2
390201	OR10V1
123355	LRRC28
64100	ELSPBP1
151011	SEPT10
643382	TMEM253
220963	SLC16A9
25862	USP49
134510	UBLCP1
339751	MLK7-AS1
4355	MPP2
147741	ZNF560
100873165	SRGAP2-AS1
114548	NLRP3
645027	EVPLL
6606	SMN1
337976	KRTAP20-2
5707	PSMD1
100506874	LINC00933
441194	PMS2CL
1655	DDX5
90075	ZNF30
101928233	LOC101928233
23339	VPS39
284541	CYP4A22
137872	ADHFE1
146547	PRSS36
2790	GNG10
284632	LOC284632
492311	IGIP
100506700	LOC100506700
401507	FAM74A1
128506	OCSTAMP
100422985	MIR1184-2
9700	ESPL1
100500865	MIR3936
5955	RCN2
64743	WDR13
2979	GUCA1B
2298	FOXD4
3123	HLA-DRB1
100750325	RCAN3AS
93655	ST7-OT3
693127	MIR548A3
51022	GLRX2
5393	EXOSC9
2634	GBP2
89876	MAATS1
692198	SNORD78
693223	MIR638
79685	SAP30L
102465869	MIR8067
353132	LCE1B
100507547	LOC100507547
26494	OR8G1
100126781	SNAR-F
158696	LINC00889
94234	FOXQ1
278	AMY1C
101929124	LOC101929124
100423000	MIR3161
28231	SLCO4A1
55603	FAM46A
114799	ESCO1
6426	SRSF1
8748	ADAM20
80761	UPK3B
51250	C6orf203
80723	SLC35G2
153562	MARVELD2
283303	MRGPRG-AS1
400508	CRYM-AS1
90024	FLJ20021
400629	TEX19
101929329	LAMP5-AS1
100616288	MIR4665
646498	C3orf84
83597	RTP3
51081	MRPS7
83864	TTTY9A
55752	SEPT11
2313	FLI1
25939	SAMHD1
1656	DDX6
744	MPPED2
54933	RHBDL2
101927181	LOC101927181
132	ADK
55687	TRMU
23230	VPS13A
100506990	LOC100506990
9967	THRAP3
7469	NELFA
100874048	DGUOK-AS1
157570	ESCO2
83450	DRC3
5999	RGS4
10539	GLRX3
119765	OR4B1
8446	DUSP11
257019	FRMD3
100528016	TMX2-CTNND1
27143	PALD1
55133	SRBD1
79078	C1orf50
441425	ANKRD20A3
9908	G3BP2
51604	PIGT
2043	EPHA4
3835	KIF22
84875	PARP10
5475	PPEF1
399829	LINC01168
400765	MIR137HG
101928847	LOC101928847
400935	IL17REL
5098	PCDHGC3
285440	CYP4V2
55796	MBNL3
10158	PDZK1IP1
286676	ILDR1
64072	CDH23
147945	NLRP4
2635	GBP3
4478	MSN
9638	FEZ1
100422880	MIR3162
23379	ICE1
64897	C12orf43
100132352	FRG1HP
9138	ARHGEF1
9626	GUCA1C
57333	RCN3
5930	RBBP6
116068	LYSMD3
4356	MPP3
22900	CARD8
286319	TUSC1
338069	ST7-OT4
11103	KRR1
168417	ZNF679
25804	LSM4
11261	CHP1
8424	BBOX1
26231	LRRC29
2137	EXTL3
171423	PDIA3P1
9601	PDIA4
100506783	HOXD-AS2
124842	TMEM132E
144742	LINC00934
64777	RMND5B
11042	SMA5
100616300	MIR4710
113402	SFT2D1
80017	C14orf159
100132815	IPO5P1
284369	SIGLECL1
6607	SMN2
337985	KRTAP20-3
81392	OR2AE1
56850	GRIPAP1
388965	FUNDC2P2
6626	SNRPA
100500822	MIR3937
26012	NSMF
414060	TBC1D3C
56888	KCMF1
83854	ANGPTL6
91862	MARVELD3
80195	TMEM254
100422977	MIR1184-3
55805	LRP2BP
285588	EFCAB9
146861	SLC35G3
64779	MTHFSD
54718	BTN2A3P
200942	KLHDC8B
4582	MUC1
50489	CD207
26770	SNORD79
693224	MIR639
10291	SF3A1
2791	GNG11
3820	KLRB1
105447645	LOC105447645
103689845	LINC01050
100874095	ADIPOQ-AS1
4620	MYH2
64108	RTP4
100505681	NAPA-AS1
5708	PSMD2
6427	SRSF2
23082	PPRC1
56254	RNF20
100507096	GIMD1
115572	FAM46B
353133	LCE1C
5619	PRM1
101929125	LOC101929125
8346	HIST1H2BI
8747	ADAM21
136242	PRSS37
102465468	MIR6781
93134	ZNF561
26492	OR8G2
54660	PCDHB18P
102466876	MIR8068
425057	TTTY9B
4978	OPCML
100500875	MIR3938
81502	HM13
4899	NRF1
8490	RGS5
54064	LINC00160
55253	TYW1
2044	EPHA5
54806	AHI1
157680	VPS13B
79870	BAALC
100506207	LOC100506207
9315	NREP
57097	PARP11
553103	LOC553103
53616	ADAM22
7581	ZNF33A
126206	NLRP5
58538	MPP4
100874291	ALMS1-IT1
101928646	ARNTL2-AS1
9637	FEZ2
6628	SNRPB
831	CAST
4784	NFIX
8879	SGPL1
494514	TYMSOS
5470	PPEF2
55970	GNG12
10590	SCGN
100873962	LINC00278
375298	CERKL
9493	KIF23
7772	ZNF229
728747	ANKRD20A4
8175	SF3A2
54855	FAM46C
128817	CSTL1
100616214	MIR4667
405	ARNT
55802	DCP1A
128869	PIGU
79664	ICE2
64965	MRPS9
10954	PDIA5
101927795	LOC101927795
54811	ZNF562
285796	PACRG-AS1
1618	DAZL
56098	PCDHGC4
2212	FCGR2A
4621	MYH3
5058	PAK1
102723165	LINC01169
100507431	LOC100507431
55686	MREG
10003	NAALAD2
6295	SAG
3978	LIG1
387597	ILDR2
7942	TFEB
201456	FBXO15
154449	LOC154449
283491	OR7E156P
153478	PLEKHG4B
3305	HSPA1L
257218	SHPRH
5681	PSKH1
122616	C14orf79
404093	CUEDC1
155060	LOC155060
162494	RHBDL3
101929577	LOC101929577
10148	EBI3
5709	PSMD3
285093	RTP5
6428	SRSF3
105372127	TCF4-AS1
4583	MUC2
8970	HIST1H2BJ
57828	CATSPERG
3568	IL5RA
339501	PRSS38
25920	NELFB
100507387	LOC100507387
29107	NXT1
646000	SLC35G4
406904	MIR1-1
100652999	LOC100652999
342096	GOLGA6A
10616	RBCK1
375035	SFT2D2
5539	PPY
100126693	LINC00322
286135	FAM183CP
11223	MST1L
7580	ZNF32
5620	PRM2
255411	LINC00935
63928	CHP2
115416	MALSU1
9452	ITM2A
391356	PTRHD1
64403	CDH24
56926	NCLN
64170	CARD9
8877	SPHK1
11334	TUSC2
983	CDK1
102465469	MIR6782
115361	GBP4
3452	IFNA21
6713	SQLE
100616409	MIR4711
11266	DUSP12
353134	LCE1D
100151643	KRTAP20-4
9181	ARHGEF2
124404	SEPT12
50626	CYHR1
80124	VCPIP1
151516	ASPRV1
80712	ESX1
795	S100G
8350	HIST1H3A
5931	RBBP7
101928730	LOC101928730
10011	SRA1
23658	LSM5
100170221	SNAR-H
145748	LYSMD4
101927992	LINC01213
9221	NOLC1
9636	ISG15
2907	GRINA
619562	SNORA3A
200726	LOC200726
170575	GIMAP1
10218	ANGPTL7
10660	LBX1
100379571	BACE1-AS
728495	FAM74A3
100532735	INO80B-WBP1
574495	MIR522
100423029	MIR3163
729428	GAGE12B
64398	MPP5
412	STS
118	ADD1
645166	LOC645166
728806	NSFP1
285220	EPHA6
84168	ANTXR1
84978	FRMD5
25830	SULT4A1
338758	LINC00936
1588	CYP19A1
414224	AGAP12P
140731	ANKRD60
55908	ANGPTL8
9628	RGS6
84824	FCRLA
100529241	HSPE1-MOB4
153222	CREBRF
152100	CMC1
80155	NAA15
50650	ARHGEF3
26157	GIMAP2
105370242	LINC01052
22854	NTNG1
8745	ADAM23
347240	KIF24
11104	KATNA1
30835	CD209
169966	FAM46D
116511	MAS1L
5062	PAK2
51218	GLRX5
163	AP2B1
196513	DCP1B
284058	KANSL1
11157	LSM6
654816	NCF1B
729422	GAGE12C
55526	DHTKD1
64395	GMCL1
27291	R3HCC1L
51479	ANKFY1
5932	RBBP8
646625	URAD
7991	TUSC3
54832	VPS13C
151195	CCNYL1
6429	SRSF4
5618	PRLR
678655	CD27-AS1
101929622	LOC101929622
157574	FBXO16
9289	ADGRG1
498	ATP5A1
64761	PARP12
56097	PCDHGC5
22797	TFEC
101928022	LINC01214
6908	TBP
100874309	EPN2-IT1
133	ADM
84826	SFT2D3
9445	ITM2B
5562	PRKAA1
29798	C2orf27A
135935	NOBOX
10130	PDIA6
79717	PPCS
9646	CTR9
100170222	SNAR-I
56848	SPHK2
51764	GNG13
2766	GMPR
133396	IL31RA
85236	HIST1H2BK
7582	ZNF33B
8438	RAD54L
121053	C12orf45
130026	ICA1L
83650	SLC35G5
1017	CDK2
8685	MARCO
1821	DRP2
7040	TGFB1
55197	RPRD1A
101928731	LOC101928731
92014	SLC25A51
79004	CUEDC2
100131655	LOC100131655
55889	GOLGA6B
284835	LINC00323
100874110	GLYCTK-AS1
11067	C10orf10
85481	PSKH2
100506497	LOC100506497
58531	PRM3
100529211	TMEM256-PLSCR3
7771	ZNF112
103689846	ADAMTS19-AS1
84569	LYZL1
102723859	TBC1D3E
401508	FAM74A4
55026	TMEM255A
254863	TMEM256
80325	ABTB1
85474	LBX2
100422846	MIR3164
10946	SF3A3
100505536	ISM1-AS1
440594	FLJ31662
171389	NLRP6
148423	C1orf52
100861540	CYP3A7-CYP3A51P
101926900	DNAJB5-AS1
5710	PSMD4
100616114	MIR4668
147837	ZNF563
100616305	MIR548AE1
55650	PIGV
2213	FCGR2B
